tweetid,authorid,content,lang,date,source,geo,retweetcount,likecount,quotecount
1554149911825854464,1477992856635596802,bhighomg gggzuij WiseCuler moosenmooth XDVXY10i Barcelona fan saying posing PSG fan PSG keeping Messi coz biggest pr ever missing pen UCL really helped them,en,20220801T16 59 48 000Z,Twitter Android,,0,0,0
1554149897305264130,1482811695462498308,talkSPORT I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 59 44 000Z,Twitter Android,,0,0,0
1554149875033554944,1539565454733312001,JoeTech99 Ash7 LrrRjay wizznaldo TeamMessi PSGEnglish Messi worst ,en,20220801T16 59 39 000Z,Twitter Web App,,2,8,0
1554149874639273986,1482811695462498308,BayernLM10 I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 59 39 000Z,Twitter Android,,0,0,0
1554149874555314178,3465612196,"This would picture year, didn't end well Yes, pulled it, packs stomach Newcastle | WWIII | Chelsea | Chong | Lionel Messi | Tinubu ",en,20220801T16 59 39 000Z,Twitter Android,,4,74,0
1554149871665483779,1088173344967540739,KofiJR7 thebenaboy fcbsena lost weight expect magic season I seeing chemistry Neymar Messi,en,20220801T16 59 38 000Z,Twitter iPhone,,0,0,0
1554149870079881216,1546081081044369408,Nothing messi awful media Football respect anymore Make heart ache ,en,20220801T16 59 38 000Z,Twitter iPhone,,0,0,0
1554149850173919234,1549796729981214723,thijs52911111 SxreePxcked nocontextfooty messi dog gt whole village,en,20220801T16 59 33 000Z,Twitter iPhone,,0,46,0
1554149850048086018,1133886202438922241,Who need LET'S TALK BIZNESS ASUU WEURO2022 Messi ASUUStrike ,en,20220801T16 59 33 000Z,Twitter Android,00611f1548c7bdef,0,1,0
1554149827340009472,1482811695462498308,ThisWont I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 59 28 000Z,Twitter Android,,0,0,0
1554149824655671302,1349894663554146305,"0xMessi ""another jab wonderful anti virus please project""",en,20220801T16 59 27 000Z,Twitter Web App,,0,0,0
1554149820348219394,1543901312919764993,All time goals major finals Lionel Messi leads way 32 goals //t co/YuVX5iLz8V,en,20220801T16 59 26 000Z,Twitter Web App,,0,1,0
1554149791067676673,1482811695462498308,MadeiraCakes Cristiano ManUtd premierleague I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 59 19 000Z,Twitter Android,,0,0,0
1554149773216829442,1403428439739219969,itzmesamson DesmundOris AskaDream doesn’t give messi goal 5 games ,en,20220801T16 59 15 000Z,Twitter iPhone,,0,0,0
1554149765104926722,1517967465271148546,Since 200910 Messi's BCC UCL KO RO16 15 24 QF 6 19 SF 6 9 F 0 2 Total 27 54 0 5 P90 Assists UCL KO 12 Ronaldo's BCC UCL KO RO16 9 24 QF 6 17 SF 3 15 F 0 4 Total 18 60 0 3 P90 Assists UCL KO 15,en,20220801T16 59 13 000Z,Twitter Android,,2,6,0
1554149761225293827,1482811695462498308,TeamCRonaldo I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 59 12 000Z,Twitter Android,,0,0,0
1554149749347024896,1252698949141626880,messi202108 aging like fine wine I’d say,en,20220801T16 59 09 000Z,Twitter iPhone,,0,2,0
